成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 分组
天神丨爆,202,44520732,105316,28808,215169,48953398,105316,28808,215169,21660, 京兆北, 天神团
戰岚丨Leo,167,44234602,132691,27128,317522,48081318,132691,27128,317522,23206, 长安, 金麟团
戰魂丨最问情,234,44233616,75866,37202,400110,49084566,75866,37202,400110,22930, 京兆北, 双魂团
金鳞丨文徵明,189,44093063,96295,26107,303373,48550517,96295,26107,303373,18130, 京兆北, 金麟团
混世魔王樊瑞,159,44010239,161039,13662,461645,44010239,161039,13662,461645,22090, 京兆北, 绝对领域
金麟丨书元,183,43844135,101498,21672,201828,49341594,101498,21672,201828,22070, 京兆北, 金麟团
金麟丨宇宙,242,43687554,102243,19829,209581,46457056,102243,19829,209581,17900, 京兆北, 金麟团
無雙丿醉逍遥,213,43634533,107352,25282,201940,48667578,107352,25282,201940,20170, 京兆北, 双魂团
金麟丨锺景行,164,43166796,132574,20646,200745,44134738,132574,20646,200745,20050, 京兆北, 金麟团
神机入梦,195,42974787,134740,16502,202610,42974787,134740,16502,202610,18040, 京兆北, 绝对领域
思源丶飓风,107,42873789,187951,21879,202840,47849317,187951,21879,202840,22400, 京兆北, 思源团
霹雳火玄天宗,237,42716719,77179,4935,207081,42716719,77179,4935,207081,27810, 长安, 绝对领域
流沙丨CFF,192,42342802,80998,33585,202186,45728007,80998,33585,202186,19313, 京兆北, 绝对领域
思源丶天龙,226,41435926,82412,21230,242397,41665800,82412,21230,242397,20623, 京兆北, 思源团
金麟丨胖哒哒,181,41402129,160128,23953,205415,44861696,160128,23953,205415,19520, 京兆北, 金麟团
伯约小老弟,153,41298050,155720,15912,204709,41562863,155720,15912,204709,20859, 京兆北, 绝对领域
金鳞丨龙梦,232,41189203,76591,18719,222663,41189203,76591,18719,222663,20188, 京兆北, 金麟团
烽火丨神走位,249,40701834,100564,7206,201938,40701834,100564,7206,201938,20040, 京兆北, 绝对领域
五香猴小老弟,154,40321753,139502,20835,211259,44612413,139502,20835,211259,21280, 京兆北, 绝对领域
思源丶公子陌,169,39906631,136448,15901,207829,42342329,136448,15901,207829,19390, 京兆北, 思源二团
戰魂丨风無言,224,39862832,130949,22097,200274,41696351,130949,22097,200274,18900, 京兆北, 双魂团
思源丶敏,196,39656509,105861,19891,354960,45217859,105861,19891,354960,20700, 京兆北, 思源团
思源丶铢寶,120,39428466,152151,37795,207542,45964414,152151,37795,207542,21486, 京兆北, 思源团
天神丨鹏泰熙,162,39125024,183448,19613,205323,39125024,183448,19613,205323,19212, 京兆北, 天神团
金麟丨克洛普,245,38905133,136781,15012,300407,38905133,136781,15012,300407,21699, 京兆北, 金麟团
